Steps (m),MeanDistance (d),Square root of Steps (m),Log (m),Log (d)
16996,118.947031,130.3687079,14.05290763,6.894175451
16998,117.0469063,130.3763782,14.05307739,6.870942992
17000,114.3733848,130.3840481,14.05324713,6.837607559
17002,114.252414,130.3917175,14.05341684,6.836080837
17004,113.9129628,130.3993865,14.05358654,6.831788119
17006,114.7528205,130.407055,14.05375622,6.842385804
17008,113.312025,130.4147231,14.05392588,6.824157162
17010,115.613419,130.4223907,14.05409552,6.853165048
17012,116.913866,130.4300579,14.05426514,6.869302233
17014,116.7927611,130.4377246,14.05443474,6.867807048
17016,114.6204309,130.4453909,14.05460432,6.840720415
17018,115.7153739,130.4530567,14.05477388,6.854436743
17020,115.1280445,130.4607221,14.05494342,6.847095498
17022,112.8276866,130.468387,14.05511294,6.817977322
17024,115.1097716,130.4760514,14.05528244,6.846866499
17026,114.2151495,130.4837155,14.05545192,6.835610212
17028,115.9098696,130.491379,14.05562137,6.856859605
17030,114.7519992,130.4990421,14.05579081,6.842375478
17032,117.0138912,130.5067048,14.05596023,6.870535997
17034,114.220019,130.514367,14.05612963,6.835671719
17036,112.8707155,130.5220288,14.05629901,6.818527415
17038,115.8304563,130.5296901,14.05646837,6.855870833
17040,115.7339742,130.537351,14.05663772,6.854668625
17042,114.7437834,130.5450114,14.05680704,6.842272183
17044,116.1058329,130.5526714,14.05697634,6.859296641
17046,113.6717292,130.5603309,14.05714562,6.828729683
17048,118.0413769,130.56799,14.05731488,6.883148844
17050,117.6588803,130.5756486,14.05748412,6.878466402
17052,116.7503552,130.5833067,14.05765334,6.867283129
17054,115.678934,130.5909645,14.05782254,6.853982353
17056,114.3174337,130.5986217,14.05799172,6.836901624
17058,117.5234122,130.6062786,14.05816088,6.876804379
17060,114.9347573,130.6139349,14.05833003,6.844671338
17062,114.1268022,130.6215909,14.05849915,6.834493831
17064,113.2924716,130.6292463,14.05866825,6.823908186
17066,116.1818747,130.6369014,14.05883733,6.860241204
17068,117.0335849,130.644556,14.0590064,6.870778786
17070,115.1076857,130.6522101,14.05917544,6.846840355
17072,115.7796018,130.6598638,14.05934446,6.855237289
17074,116.946285,130.667517,14.05951346,6.869702222
17076,114.0742603,130.6751698,14.05968245,6.833829488
17078,114.6109313,130.6828221,14.05985141,6.840600841
17080,114.1149045,130.690474,14.06002035,6.834343424
17082,117.4293607,130.6981255,14.06018928,6.875649358
17084,112.4803562,130.7057765,14.06035818,6.813529258
17086,118.0439572,130.713427,14.06052707,6.88318038
17088,117.9536761,130.7210771,14.06069593,6.882076571
17090,113.5944378,130.7287268,14.06086478,6.827748385
17092,117.8669026,130.736376,14.0610336,6.881014852
17094,116.4927048,130.7440247,14.06120241,6.864095801
17096,113.9286355,130.751673,14.06137119,6.831986597
17098,115.4566753,130.7593209,14.06153996,6.851207777
17100,112.6687675,130.7669683,14.0617087,6.815943837
17102,115.071625,130.7746153,14.06187743,6.846388319
